uuid,unitsSold,unitPrice,unitCost,totalRevenue,totalCost,totalProfit
952696883,3034,81.73,56.67,247968.82,171936.78,76032.04
738182389,3428,255.28,159.42,875099.84,546491.76,328608.08
194915759,8759,47.45,31.79,415614.55,278448.61,137165.94
121383321,8877,421.89,364.69,3745117.53,3237353.13,507764.4
486383903,660,668.27,502.54,441058.2,331676.4,109381.8
879028832,3020,9.33,6.92,28176.6,20898.4,7278.2
958741939,1900,154.06,90.93,292714,172767,119947
905259549,5272,81.73,56.67,430880.56,298764.24,132116.32
968630492,8143,668.27,502.54,5441722.61,4092183.22,1349539.39
119216096,7547,9.33,6.92,70413.51,52225.24,18188.27
997690188,7552,152.58,97.44,1152284.16,735866.88,416417.28
465039098,4258,47.45,31.79,202042.1,135361.82,66680.28
852561652,794,47.45,31.79,37675.3,25241.26,12434.04
511869180,2320,255.28,159.42,592249.6,369854.4,222395.2
564885509,1030,81.73,56.67,84181.9,58370.1,25811.8
853846967,1147,668.27,502.54,766505.69,576413.38,190092.31
391302382,3925,421.89,364.69,1655918.25,1431408.25,224510
510113084,2652,152.58,97.44,404642.16,258410.88,146231.28
813452899,7644,152.58,97.44,1166321.52,744831.36,421490.16
524808156,1251,437.2,263.33,546937.2,329425.83,217511.37
737977683,2851,668.27,502.54,1905237.77,1432741.54,472496.23
367072808,3856,255.28,159.42,984359.68,614723.52,369636.16
196517360,2709,109.28,35.84,296039.52,97090.56,198948.96
631047666,9882,421.89,364.69,4169116.98,3603866.58,565250.4
345712554,2882,668.27,502.54,1925954.14,1448320.28,477633.86
335873353,1244,81.73,56.67,101672.12,70497.48,31174.64
767203891,1535,668.27,502.54,1025794.45,771398.9,254395.55
525690495,2354,255.28,159.42,600929.12,375274.68,225654.44
367631995,9332,109.28,35.84,1019800.96,334458.88,685342.08
669639718,128,255.28,159.42,32675.84,20405.76,12270.08
978637492,9436,109.28,35.84,1031166.08,338186.24,692979.84
461861646,3979,109.28,35.84,434825.12,142607.36,292217.76
156861007,7513,205.7,117.11,1545424.1,879847.43,665576.67
721496903,5822,9.33,6.92,54319.26,40288.24,14031.02
183943164,1725,437.2,263.33,754170,454244.25,299925.75
692686116,70,437.2,263.33,30604,18433.1,12170.9
866524589,2737,47.45,31.79,129870.65,87009.23,42861.42
744569909,3637,109.28,35.84,397451.36,130350.08,267101.28
436245906,3713,437.2,263.33,1623323.6,977744.29,645579.31
571288907,5938,9.33,6.92,55401.54,41090.96,14310.58
949747741,317,651.21,524.96,206433.57,166412.32,40021.25
991983735,8886,81.73,56.67,726252.78,503569.62,222683.16
188670718,713,255.28,159.42,182014.64,113666.46,68348.18
350795018,6896,651.21,524.96,4490744.16,3620124.16,870620
659655463,5565,152.58,97.44,849107.7,542253.6,306854.1
816863381,6882,255.28,159.42,1756836.96,1097128.44,659708.52
594342601,8038,152.58,97.44,1226438.04,783222.72,443215.32
284329450,8257,109.28,35.84,902324.96,295930.88,606394.08
249372756,3795,651.21,524.96,2471341.95,1992223.2,479118.75
472333848,2937,154.06,90.93,452474.22,267061.41,185412.81
106386554,1000,47.45,31.79,47450,31790,15660
625017201,5334,421.89,364.69,2250361.26,1945256.46,305104.8
872024619,318,154.06,90.93,48991.08,28915.74,20075.34
211520135,2363,81.73,56.67,193127.99,133911.21,59216.78
777927577,4912,421.89,364.69,2072323.68,1791357.28,280966.4
725983273,3438,152.58,97.44,524570.04,334998.72,189571.32
980736052,447,152.58,97.44,68203.26,43555.68,24647.58
287547242,474,437.2,263.33,207232.8,124818.42,82414.38
162090671,5086,109.28,35.84,555798.08,182282.24,373515.84
840352666,7883,205.7,117.11,1621533.1,923178.13,698354.97
828632056,9494,437.2,263.33,4150776.8,2500055.02,1650721.78
953540170,2581,437.2,263.33,1128413.2,679654.73,448758.47
312000834,6835,152.58,97.44,1042884.3,666002.4,376881.9
321250379,3981,421.89,364.69,1679544.09,1451830.89,227713.2
668837630,2773,651.21,524.96,1805805.33,1455714.08,350091.25
662623918,3997,47.45,31.79,189657.65,127064.63,62593.02
580783069,5471,437.2,263.33,2391921.2,1440678.43,951242.77
321801412,7044,205.7,117.11,1448950.8,824922.84,624027.96
754477775,5595,255.28,159.42,1428291.6,891954.9,536336.7
567923486,35,421.89,364.69,14766.15,12764.15,2002
321562373,6307,109.28,35.84,689228.96,226042.88,463186.08
195130765,2384,9.33,6.92,22242.72,16497.28,5745.44
438677489,3272,255.28,159.42,835276.16,521622.24,313653.92
922563874,6007,9.33,6.92,56045.31,41568.44,14476.87
687463748,4655,47.45,31.79,220879.75,147982.45,72897.3
194363439,5316,437.2,263.33,2324155.2,1399862.28,924292.92
874561774,1119,81.73,56.67,91455.87,63413.73,28042.14
179670083,7225,651.21,524.96,4704992.25,3792836,912156.25
131612193,5828,152.58,97.44,889236.24,567880.32,321355.92
572624433,1149,205.7,117.11,236349.3,134559.39,101789.91
515255630,4446,437.2,263.33,1943791.2,1170765.18,773026.02
392367112,9003,205.7,117.11,1851917.1,1054341.33,797575.77
707132709,5137,152.58,97.44,783803.46,500549.28,283254.18
683038747,5199,205.7,117.11,1069434.3,608854.89,460579.41
513884055,8566,152.58,97.44,1307000.28,834671.04,472329.24
913779962,6652,421.89,364.69,2806412.28,2425917.88,380494.4
867150294,7897,47.45,31.79,374712.65,251045.63,123667.02
778731381,2776,421.89,364.69,1171166.64,1012379.44,158787.2
223572051,8793,109.28,35.84,960899.04,315141.12,645757.92
197033631,5485,255.28,159.42,1400210.8,874418.7,525792.1
864789950,9419,81.73,56.67,769814.87,533774.73,236040.14
212827336,9193,81.73,56.67,751343.89,520967.31,230376.58
797444617,438,154.06,90.93,67478.28,39827.34,27650.94
295253121,815,668.27,502.54,544640.05,409570.1,135069.95
953176677,5015,152.58,97.44,765188.7,488661.6,276527.1
138451611,9763,651.21,524.96,6357763.23,5125184.48,1232578.75
688626754,8814,81.73,56.67,720368.22,499489.38,220878.84
561563432,7953,152.58,97.44,1213468.74,774940.32,438528.42
485435473,9999,47.45,31.79,474452.55,317868.21,156584.34
808729207,9799,651.21,524.96,6381206.79,5144083.04,1237123.75
150243461,9234,152.58,97.44,1408923.72,899760.96,509162.76
349089562,2214,81.73,56.67,180950.22,125467.38,55482.84
614691340,9682,205.7,117.11,1991587.4,1133859.02,857728.38
676785123,4612,81.73,56.67,376938.76,261362.04,115576.72
335419738,7009,154.06,90.93,1079806.54,637328.37,442478.17
810956513,8908,9.33,6.92,83111.64,61643.36,21468.28
694069278,9378,668.27,502.54,6267036.06,4712820.12,1554215.94
895744359,9516,9.33,6.92,88784.28,65850.72,22933.56
597280585,7453,437.2,263.33,3258451.6,1962598.49,1295853.11
400289285,3350,255.28,159.42,855188,534057,321131
976694285,4398,668.27,502.54,2939051.46,2210170.92,728880.54
818731915,9823,668.27,502.54,6564416.21,4936450.42,1627965.79
288951003,5878,668.27,502.54,3928091.06,2953930.12,974160.94
270212876,850,205.7,117.11,174845,99543.5,75301.5
815691363,56,421.89,364.69,23625.84,20422.64,3203.2
698872792,845,255.28,159.42,215711.6,134709.9,81001.7
563555991,7596,205.7,117.11,1562497.2,889567.56,672929.64
673852288,6721,109.28,35.84,734470.88,240880.64,493590.24
464185512,1663,9.33,6.92,15515.79,11507.96,4007.83
789291989,7894,421.89,364.69,3330399.66,2878862.86,451536.8
774220550,7920,421.89,364.69,3341368.8,2888344.8,453024
964332520,6277,205.7,117.11,1291178.9,735099.47,556079.43
175301730,4532,437.2,263.33,1981390.4,1193411.56,787978.84
443114507,6284,154.06,90.93,968113.04,571404.12,396708.92
274069678,2163,9.33,6.92,20180.79,14967.96,5212.83
494778573,4830,421.89,364.69,2037728.7,1761452.7,276276
202165019,3977,421.89,364.69,1677856.53,1450372.13,227484.4
813465344,1327,109.28,35.84,145014.56,47559.68,97454.88
216228377,5637,421.89,364.69,2378193.93,2055757.53,322436.4
418315446,7691,255.28,159.42,1963358.48,1226099.22,737259.26
797900378,5308,421.89,364.69,2239392.12,1935774.52,303617.6
353469502,8335,47.45,31.79,395495.75,264969.65,130526.1
853821647,3654,421.89,364.69,1541586.06,1332577.26,209008.8
988068139,174,47.45,31.79,8256.3,5531.46,2724.84
415632808,3839,154.06,90.93,591436.34,349080.27,242356.07
216251981,2622,437.2,263.33,1146338.4,690451.26,455887.14
639974486,1527,651.21,524.96,994397.67,801613.92,192783.75
657161653,7591,421.89,364.69,3202566.99,2768361.79,434205.2
208487308,4882,437.2,263.33,2134410.4,1285577.06,848833.34
654937779,9498,668.27,502.54,6347228.46,4773124.92,1574103.54
727811896,4569,421.89,364.69,1927615.41,1666268.61,261346.8
578720986,5255,255.28,159.42,1341496.4,837752.1,503744.3
429588878,3750,154.06,90.93,577725,340987.5,236737.5
122651898,4277,81.73,56.67,349559.21,242377.59,107181.62
470458877,8091,255.28,159.42,2065470.48,1289867.22,775603.26
105871140,8478,421.89,364.69,3576783.42,3091841.82,484941.6
432062518,5755,47.45,31.79,273074.75,182951.45,90123.3
672519338,2272,9.33,6.92,21197.76,15722.24,5475.52
121040427,7407,437.2,263.33,3238340.4,1950485.31,1287855.09
391737115,2572,9.33,6.92,23996.76,17798.24,6198.52
469033229,6210,154.06,90.93,956712.6,564675.3,392037.3
757665097,8794,109.28,35.84,961008.32,315176.96,645831.36
832681548,7829,205.7,117.11,1610425.3,916854.19,693571.11
789443910,2851,421.89,364.69,1202808.39,1039731.19,163077.2
793626010,427,81.73,56.67,34898.71,24198.09,10700.62
631214177,9157,154.06,90.93,1410727.42,832646.01,578081.41
158507239,4669,255.28,159.42,1191902.32,744331.98,447570.34
652116525,4626,81.73,56.67,378082.98,262155.42,115927.56
758965861,3719,205.7,117.11,764998.3,435532.09,329466.21
546291577,8672,154.06,90.93,1336008.32,788544.96,547463.36
151642501,3241,9.33,6.92,30238.53,22427.72,7810.81
232879960,3210,421.89,364.69,1354266.9,1170654.9,183612
618177783,1398,152.58,97.44,213306.84,136221.12,77085.72
756022298,2653,152.58,97.44,404794.74,258508.32,146286.42
165212333,8855,47.45,31.79,420169.75,281500.45,138669.3
684859216,3916,81.73,56.67,320054.68,221919.72,98134.96
624386775,8777,9.33,6.92,81889.41,60736.84,21152.57
613531339,6412,205.7,117.11,1318948.4,750909.32,568039.08
452341735,6826,154.06,90.93,1051613.56,620688.18,430925.38
461179292,2056,205.7,117.11,422919.2,240778.16,182141.04
130717837,1168,421.89,364.69,492767.52,425957.92,66809.6
371943700,5261,154.06,90.93,810509.66,478382.73,332126.93
366155707,2465,668.27,502.54,1647285.55,1238761.1,408524.45
714965188,2942,437.2,263.33,1286242.4,774716.86,511525.54
290295970,3883,109.28,35.84,424334.24,139166.72,285167.52
284384381,4513,152.58,97.44,688593.54,439746.72,248846.82
159779250,1086,437.2,263.33,474799.2,285976.38,188822.82
799341905,1888,205.7,117.11,388361.6,221103.68,167257.92
456246173,2236,9.33,6.92,20861.88,15473.12,5388.76
603978383,9480,109.28,35.84,1035974.4,339763.2,696211.2
986337363,7999,255.28,159.42,2041984.72,1275200.58,766784.14
967434442,4205,205.7,117.11,864968.5,492447.55,372520.95
881693446,1539,437.2,263.33,672850.8,405264.87,267585.93
683850705,5475,9.33,6.92,51081.75,37887,13194.75
398955047,8519,651.21,524.96,5547657.99,4472134.24,1075523.75
572367799,5206,9.33,6.92,48571.98,36025.52,12546.46
919762790,7103,152.58,97.44,1083775.74,692116.32,391659.42
777126348,7811,668.27,502.54,5219856.97,3925339.94,1294517.03
450757300,7957,81.73,56.67,650325.61,450923.19,199402.42
767266976,204,47.45,31.79,9679.8,6485.16,3194.64
823579204,4243,651.21,524.96,2763084.03,2227405.28,535678.75
236930310,1799,437.2,263.33,786522.8,473730.67,312792.13
494869124,1626,109.28,35.84,177689.28,58275.84,119413.44
905256974,4510,154.06,90.93,694810.6,410094.3,284716.3
846267688,8270,205.7,117.11,1701139,968499.7,732639.3
216387593,2752,255.28,159.42,702530.56,438723.84,263806.72
784415519,4838,9.33,6.92,45138.54,33478.96,11659.58
339462792,3439,81.73,56.67,281069.47,194888.13,86181.34
340953242,4496,205.7,117.11,924827.2,526526.56,398300.64
968623197,5984,9.33,6.92,55830.72,41409.28,14421.44
672521483,2907,205.7,117.11,597969.9,340438.77,257531.13
223009431,2301,255.28,159.42,587399.28,366825.42,220573.86
460760867,8235,81.73,56.67,673046.55,466677.45,206369.1
946762120,6805,154.06,90.93,1048378.3,618778.65,429599.65
412312018,1144,668.27,502.54,764500.88,574905.76,189595.12
809021890,6410,109.28,35.84,700484.8,229734.4,470750.4
558815562,4798,255.28,159.42,1224833.44,764897.16,459936.28
403929364,530,154.06,90.93,81651.8,48192.9,33458.9
256912124,4861,205.7,117.11,999907.7,569271.71,430635.99
550625169,1078,205.7,117.11,221744.6,126244.58,95500.02
888242328,9498,154.06,90.93,1463261.88,863653.14,599608.74
493249928,2470,421.89,364.69,1042068.3,900784.3,141284
459446799,9373,668.27,502.54,6263694.71,4710307.42,1553387.29
600944268,1618,437.2,263.33,707389.6,426067.94,281321.66
802166163,7649,152.58,97.44,1167084.42,745318.56,421765.86
567848813,7937,205.7,117.11,1632640.9,929502.07,703138.83
373041045,9990,421.89,364.69,4214681.1,3643253.1,571428
313104188,3342,9.33,6.92,31180.86,23126.64,8054.22
553712069,4561,152.58,97.44,695917.38,444423.84,251493.54
880851018,2246,154.06,90.93,346018.76,204228.78,141789.98
250819861,2026,47.45,31.79,96133.7,64406.54,31727.16
840229928,1562,81.73,56.67,127662.26,88518.54,39143.72
396005046,5548,421.89,364.69,2340645.72,2023300.12,317345.6
785381543,706,154.06,90.93,108766.36,64196.58,44569.78
345908248,792,205.7,117.11,162914.4,92751.12,70163.28
635446488,1592,651.21,524.96,1036726.32,835736.32,200990
582170093,5922,255.28,159.42,1511768.16,944085.24,567682.92
534565389,8633,651.21,524.96,5621895.93,4531979.68,1089916.25
911431205,1602,9.33,6.92,14946.66,11085.84,3860.82
851878869,8743,152.58,97.44,1334006.94,851917.92,482089.02
465332210,996,81.73,56.67,81403.08,56443.32,24959.76
381527554,1337,109.28,35.84,146107.36,47918.08,98189.28
400513732,9768,81.73,56.67,798338.64,553552.56,244786.08
842652070,8328,437.2,263.33,3641001.6,2193012.24,1447989.36
298616397,6083,421.89,364.69,2566356.87,2218409.27,347947.6
579393041,4131,81.73,56.67,337626.63,234103.77,103522.86
866280829,603,651.21,524.96,392679.63,316550.88,76128.75
860891091,5660,81.73,56.67,462591.8,320752.2,141839.6
335147655,6494,255.28,159.42,1657788.32,1035273.48,622514.84
481286847,2328,437.2,263.33,1017801.6,613032.24,404769.36
761857497,9418,152.58,97.44,1436998.44,917689.92,519308.52
259720933,6050,154.06,90.93,932063,550126.5,381936.5
828050982,7542,437.2,263.33,3297362.4,1986034.86,1311327.54
340333974,1241,668.27,502.54,829323.07,623652.14,205670.93
340368735,1527,205.7,117.11,314103.9,178826.97,135276.93
192266595,4813,81.73,56.67,393366.49,272752.71,120613.78
230451381,4540,154.06,90.93,699432.4,412822.2,286610.2
409659421,6181,9.33,6.92,57668.73,42772.52,14896.21
754939544,2242,651.21,524.96,1460012.82,1176960.32,283052.5
911653077,7259,81.73,56.67,593278.07,411367.53,181910.54
595473849,2800,668.27,502.54,1871156,1407112,464044
942388188,2462,9.33,6.92,22970.46,17037.04,5933.42
458694922,6876,205.7,117.11,1414393.2,805248.36,609144.84
871005380,8702,81.73,56.67,711214.46,493142.34,218072.12
376243388,7634,651.21,524.96,4971337.14,4007544.64,963792.5
391645276,5395,152.58,97.44,823169.1,525688.8,297480.3
604759871,740,9.33,6.92,6904.2,5120.8,1783.4
323448503,4454,109.28,35.84,486733.12,159631.36,327101.76
725884997,4356,109.28,35.84,476023.68,156119.04,319904.64
810555684,294,437.2,263.33,128536.8,77419.02,51117.78
546259391,9148,205.7,117.11,1881743.6,1071322.28,810421.32
422107446,9828,651.21,524.96,6400091.88,5159306.88,1240785
997523677,8278,255.28,159.42,2113207.84,1319678.76,793529.08
652244412,2471,81.73,56.67,201954.83,140031.57,61923.26
536318480,7411,47.45,31.79,351651.95,235595.69,116056.26
520107209,136,81.73,56.67,11115.28,7707.12,3408.16
544284427,4712,9.33,6.92,43962.96,32607.04,11355.92
169836461,7238,437.2,263.33,3164453.6,1905982.54,1258471.06
828062140,844,47.45,31.79,40047.8,26830.76,13217.04
870572793,690,668.27,502.54,461106.3,346752.6,114353.7
519292247,8971,152.58,97.44,1368795.18,874134.24,494660.94
516456830,9908,9.33,6.92,92441.64,68563.36,23878.28
774615371,4757,154.06,90.93,732863.42,432554.01,300309.41
826629197,6804,152.58,97.44,1038154.32,662981.76,375172.56
275672137,6366,152.58,97.44,971324.28,620303.04,351021.24
145230519,5793,255.28,159.42,1478837.04,923520.06,555316.98
629103171,4463,154.06,90.93,687569.78,405820.59,281749.19
641401422,3789,9.33,6.92,35351.37,26219.88,9131.49
966549098,2212,81.73,56.67,180786.76,125354.04,55432.72
209282529,206,668.27,502.54,137663.62,103523.24,34140.38
644650542,5276,437.2,263.33,2306667.2,1389329.08,917338.12
568014466,6958,9.33,6.92,64918.14,48149.36,16768.78
145048129,1820,9.33,6.92,16980.6,12594.4,4386.2
961737859,8459,421.89,364.69,3568767.51,3084912.71,483854.8
174382483,2507,255.28,159.42,639986.96,399665.94,240321.02
859593331,1624,152.58,97.44,247789.92,158242.56,89547.36
764294230,502,437.2,263.33,219474.4,132191.66,87282.74
855721509,5865,81.73,56.67,479346.45,332369.55,146976.9
371423995,1469,437.2,263.33,642246.8,386831.77,255415.03
869263017,3098,421.89,364.69,1307015.22,1129809.62,177205.6
377412402,3572,154.06,90.93,550302.32,324801.96,225500.36
144358479,7737,9.33,6.92,72186.21,53540.04,18646.17
588900077,7474,109.28,35.84,816758.72,267868.16,548890.56
850148522,6695,9.33,6.92,62464.35,46329.4,16134.95
137527644,6341,437.2,263.33,2772285.2,1669775.53,1102509.67
880773770,9386,668.27,502.54,6272382.22,4716840.44,1555541.78
179935729,5836,205.7,117.11,1200465.2,683453.96,517011.24
155374848,7725,651.21,524.96,5030597.25,4055316,975281.25
297764956,4122,109.28,35.84,450452.16,147732.48,302719.68
618092381,6126,205.7,117.11,1260118.2,717415.86,542702.34
297655951,1865,9.33,6.92,17400.45,12905.8,4494.65
838066995,1502,205.7,117.11,308961.4,175899.22,133062.18
211249339,2229,651.21,524.96,1451547.09,1170135.84,281411.25
509439313,3268,668.27,502.54,2183906.36,1642300.72,541605.64
295185744,876,668.27,502.54,585404.52,440225.04,145179.48
451349961,3338,668.27,502.54,2230685.26,1677478.52,553206.74
131105792,5972,154.06,90.93,920046.32,543033.96,377012.36
807939565,6126,109.28,35.84,669449.28,219555.84,449893.44
425650107,8181,651.21,524.96,5327549.01,4294697.76,1032851.25
148348748,8546,9.33,6.92,79734.18,59138.32,20595.86
310459315,665,668.27,502.54,444399.55,334189.1,110210.45
866718137,12,651.21,524.96,7814.52,6299.52,1515
942174041,9091,668.27,502.54,6075242.57,4568591.14,1506651.43
182188355,2438,205.7,117.11,501496.6,285514.18,215982.42
102434909,1621,668.27,502.54,1083265.67,814617.34,268648.33
938900029,238,255.28,159.42,60756.64,37941.96,22814.68
297882544,8919,109.28,35.84,974668.32,319656.96,655011.36
805993783,326,651.21,524.96,212294.46,171136.96,41157.5
660157573,4151,668.27,502.54,2773988.77,2086043.54,687945.23
377610242,2117,668.27,502.54,1414727.59,1063877.18,350850.41
545900619,2979,152.58,97.44,454535.82,290273.76,164262.06
472890031,7524,651.21,524.96,4899704.04,3949799.04,949905
436752307,3568,668.27,502.54,2384387.36,1793062.72,591324.64
335973775,961,81.73,56.67,78542.53,54459.87,24082.66
139353263,6582,437.2,263.33,2877650.4,1733238.06,1144412.34
336002099,9343,651.21,524.96,6084255.03,4904701.28,1179553.75
585344111,5185,205.7,117.11,1066554.5,607215.35,459339.15
167115628,2083,255.28,159.42,531748.24,332071.86,199676.38
231365478,5041,255.28,159.42,1286866.48,803636.22,483230.26
648454988,1096,651.21,524.96,713726.16,575356.16,138370
459057986,4314,205.7,117.11,887389.8,505212.54,382177.26
124160802,795,9.33,6.92,7417.35,5501.4,1915.95
175062263,3669,651.21,524.96,2389289.49,1926078.24,463211.25
763373696,8095,152.58,97.44,1235135.1,788776.8,446358.3
311018931,6268,152.58,97.44,956371.44,610753.92,345617.52
460234296,2410,651.21,524.96,1569416.1,1265153.6,304262.5
223568618,7777,109.28,35.84,849870.56,278727.68,571142.88
933883225,5654,152.58,97.44,862687.32,550925.76,311761.56
394351947,6359,81.73,56.67,519721.07,360364.53,159356.54
528461110,2241,109.28,35.84,244896.48,80317.44,164579.04
630009543,2679,9.33,6.92,24995.07,18538.68,6456.39
513108575,9085,81.73,56.67,742517.05,514846.95,227670.1
962182033,9900,421.89,364.69,4176711,3610431,566280
581966245,5599,421.89,364.69,2362162.11,2041899.31,320262.8
747510039,3687,255.28,159.42,941217.36,587781.54,353435.82
654174745,3699,154.06,90.93,569867.94,336350.07,233517.87
467634189,2203,47.45,31.79,104532.35,70033.37,34498.98
873874700,7798,152.58,97.44,1189818.84,759837.12,429981.72
829195106,6113,154.06,90.93,941768.78,555855.09,385913.69
710206735,4810,154.06,90.93,741028.6,437373.3,303655.3
963833415,8581,47.45,31.79,407168.45,272789.99,134378.46
757311475,4149,255.28,159.42,1059156.72,661433.58,397723.14
228189742,5270,651.21,524.96,3431876.7,2766539.2,665337.5
934329545,7730,109.28,35.84,844734.4,277043.2,567691.2
903904712,4346,152.58,97.44,663112.68,423474.24,239638.44
485401570,9966,9.33,6.92,92982.78,68964.72,24018.06
997618949,6471,651.21,524.96,4213979.91,3397016.16,816963.75
679668176,7772,152.58,97.44,1185851.76,757303.68,428548.08
540973079,4810,152.58,97.44,733909.8,468686.4,265223.4
311269986,561,109.28,35.84,61306.08,20106.24,41199.84
690607726,5028,668.27,502.54,3360061.56,2526771.12,833290.44
199347627,248,152.58,97.44,37839.84,24165.12,13674.72
