uuid,Country,Item Type,Sales Channel,Order Priority,Order Date,Region,Ship Date
391302382,Mauritius ,Meat,Offline,M,9/6/12,Sub-Saharan Africa,9/18/12
510113084,Sudan,Snacks,Offline,M,5/16/12,Sub-Saharan Africa,6/1/12
813452899,Slovakia,Snacks,Offline,C,9/29/14,Europe,11/18/14
524808156,Japan,Cosmetics,Online,C,8/11/10,Asia,8/27/10
737977683,Estonia,Household,Online,H,10/15/10,Europe,10/24/10
367072808,Laos,Baby Food,Online,L,1/5/12,Asia,2/10/12
196517360,Belgium,Clothes,Online,C,11/14/15,Europe,12/22/15
631047666,Bhutan,Meat,Offline,M,6/8/17,Asia,7/3/17
345712554,United States of America,Household,Offline,L,8/23/16,North America,10/5/16
335873353,Egypt,Personal Care,Online,C,6/28/14,Middle East and North Africa,8/16/14
767203891,Sweden,Household,Offline,C,10/25/16,Europe,12/6/16
525690495,Nepal,Baby Food,Offline,M,5/23/15,Asia,6/24/15
367631995,Senegal,Clothes,Online,M,5/26/14,Sub-Saharan Africa,6/13/14
669639718,Dominican Republic,Baby Food,Online,H,7/12/11,Central America and the Caribbean,7/25/11
978637492,Ukraine,Clothes,Online,H,11/17/16,Europe,12/4/16
461861646,Comoros,Clothes,Online,C,5/2/11,Sub-Saharan Africa,6/16/11
156861007,Benin,Cereal,Offline,M,11/30/10,Sub-Saharan Africa,1/15/11
721496903,Ethiopia,Fruits,Offline,M,7/23/17,Sub-Saharan Africa,8/30/17
183943164,Djibouti,Cosmetics,Offline,L,5/7/15,Sub-Saharan Africa,5/30/15
692686116,United Arab Emirates,Cosmetics,Online,C,2/18/12,Middle East and North Africa,3/9/12
866524589,Italy,Beverages,Online,M,1/18/13,Europe,2/19/13
744569909,Kazakhstan,Clothes,Offline,L,9/24/16,Asia,10/23/16
436245906,The Bahamas,Cosmetics,Online,H,7/5/11,Central America and the Caribbean,7/22/11
571288907,Algeria,Fruits,Online,M,1/26/17,Middle East and North Africa,2/12/17
949747741,Malta,Office Supplies,Online,L,7/11/12,Europe,8/16/12
991983735,Sudan,Personal Care,Offline,C,11/27/15,Sub-Saharan Africa,1/12/16
188670718,Lithuania,Baby Food,Offline,C,3/24/12,Europe,3/31/12
350795018,Lesotho,Office Supplies,Online,L,4/20/10,Sub-Saharan Africa,6/2/10
659655463,Israel,Snacks,Offline,H,3/15/16,Middle East and North Africa,3/29/16
816863381,Benin,Baby Food,Online,M,5/15/14,Sub-Saharan Africa,6/30/14
594342601,Burundi,Snacks,Online,C,10/16/16,Sub-Saharan Africa,10/16/16
284329450,Costa Rica,Clothes,Offline,M,10/28/13,Central America and the Caribbean,11/2/13
249372756,Maldives,Office Supplies,Online,C,10/20/15,Asia,11/14/15
472333848,Mauritania,Vegetables,Online,H,6/1/11,Sub-Saharan Africa,7/7/11
106386554,Liberia,Beverages,Offline,H,12/3/16,Sub-Saharan Africa,12/8/16
625017201,East Timor,Meat,Online,C,10/15/11,Australia and Oceania,10/28/11
872024619,Sweden,Vegetables,Offline,C,8/10/10,Europe,9/5/10
211520135,Republic of the Congo,Personal Care,Online,C,11/27/13,Sub-Saharan Africa,12/22/13
777927577,Uzbekistan,Meat,Offline,L,11/29/11,Asia,12/29/11
725983273,Saudi Arabia,Snacks,Offline,C,1/21/11,Middle East and North Africa,2/13/11
980736052,South Africa,Snacks,Offline,M,1/23/15,Sub-Saharan Africa,2/17/15
287547242,Lesotho,Cosmetics,Offline,C,7/24/13,Sub-Saharan Africa,8/13/13
162090671,Thailand,Clothes,Offline,L,3/9/16,Asia,4/9/16
840352666,Australia,Cereal,Online,C,12/2/10,Australia and Oceania,1/14/11
828632056,Dominica,Cosmetics,Offline,H,4/21/13,Central America and the Caribbean,5/21/13
953540170,Monaco,Cosmetics,Online,H,3/28/17,Europe,4/26/17
312000834,Egypt,Snacks,Online,C,11/24/13,Middle East and North Africa,12/11/13
321250379,Ireland,Meat,Online,L,8/30/10,Europe,9/30/10
668837630,South Korea,Office Supplies,Online,H,3/13/12,Asia,5/1/12
662623918,Kyrgyzstan,Beverages,Offline,L,8/29/16,Asia,9/8/16
580783069,Benin,Cosmetics,Online,L,11/27/11,Sub-Saharan Africa,1/12/12
321801412,India,Cereal,Online,C,2/25/17,Asia,4/11/17
754477775,Burundi,Baby Food,Online,L,1/14/11,Sub-Saharan Africa,2/23/11
567923486,Maldives,Meat,Online,L,2/11/11,Asia,3/5/11
321562373,India,Clothes,Offline,L,1/27/17,Asia,2/21/17
195130765,United Arab Emirates,Fruits,Online,H,7/15/14,Middle East and North Africa,8/27/14
438677489,Sudan,Baby Food,Online,L,9/5/16,Sub-Saharan Africa,9/14/16
922563874,Swaziland,Fruits,Offline,L,1/13/15,Sub-Saharan Africa,2/3/15
687463748,Angola,Beverages,Offline,M,7/20/13,Sub-Saharan Africa,8/1/13
194363439,Slovenia,Cosmetics,Offline,M,3/31/17,Europe,5/2/17
874561774,North Korea,Personal Care,Offline,H,4/10/13,Asia,4/26/13
179670083,Tanzania,Office Supplies,Online,M,7/26/12,Sub-Saharan Africa,8/10/12
131612193,Papua New Guinea,Snacks,Offline,M,10/7/15,Australia and Oceania,10/23/15
572624433,Turkmenistan,Cereal,Offline,M,12/30/16,Asia,1/20/17
515255630,Grenada,Cosmetics,Offline,H,4/3/15,Central America and the Caribbean,4/21/15
392367112,Sweden,Cereal,Offline,H,7/29/10,Europe,8/10/10
707132709,Greece,Snacks,Offline,C,6/9/15,Europe,7/23/15
683038747,Costa Rica,Cereal,Online,H,1/31/13,Central America and the Caribbean,2/16/13
513884055,Kiribati,Snacks,Offline,L,5/2/14,Australia and Oceania,5/25/14
913779962,Turkmenistan,Meat,Offline,L,12/3/15,Asia,12/24/15
867150294,Somalia,Beverages,Offline,H,11/10/11,Middle East and North Africa,11/13/11
778731381,Saudi Arabia,Meat,Offline,C,5/14/12,Middle East and North Africa,6/10/12
223572051,Portugal,Clothes,Offline,C,5/20/17,Europe,6/28/17
197033631,Iran,Baby Food,Online,M,9/30/12,Middle East and North Africa,11/18/12
864789950,Cambodia,Personal Care,Offline,C,11/21/11,Asia,11/22/11
212827336,Switzerland,Personal Care,Offline,C,2/19/14,Europe,3/1/14
797444617,Dominica,Vegetables,Offline,M,2/11/16,Central America and the Caribbean,3/5/16
295253121,Kazakhstan,Household,Offline,L,7/1/15,Asia,7/3/15
953176677,Myanmar,Snacks,Online,M,10/27/14,Asia,12/15/14
138451611,Mauritius ,Office Supplies,Online,L,2/10/10,Sub-Saharan Africa,3/7/10
688626754,Comoros,Personal Care,Online,C,5/22/17,Sub-Saharan Africa,6/25/17
561563432,Vietnam,Snacks,Online,M,11/17/15,Asia,12/28/15
485435473,South Africa,Beverages,Online,M,5/15/12,Sub-Saharan Africa,7/4/12
808729207,The Bahamas,Office Supplies,Online,M,9/22/14,Central America and the Caribbean,10/19/14
150243461,Tunisia ,Snacks,Online,C,12/5/12,Middle East and North Africa,1/2/13
349089562,South Sudan,Personal Care,Offline,C,3/9/13,Sub-Saharan Africa,3/31/13
614691340,Guinea,Cereal,Online,H,5/27/11,Sub-Saharan Africa,6/10/11
676785123,Vietnam,Personal Care,Online,M,2/14/12,Asia,3/11/12
335419738,Grenada,Vegetables,Offline,L,3/2/17,Central America and the Caribbean,3/16/17
810956513,Trinidad and Tobago,Fruits,Offline,C,4/13/14,Central America and the Caribbean,4/15/14
694069278,Israel,Household,Offline,L,3/16/11,Middle East and North Africa,5/5/11
895744359,Papua New Guinea,Fruits,Offline,M,9/26/16,Australia and Oceania,10/24/16
597280585,Iraq,Cosmetics,Offline,H,4/1/14,Middle East and North Africa,4/1/14
400289285,Sudan,Baby Food,Online,M,11/19/10,Sub-Saharan Africa,12/31/10
976694285,Vatican City,Household,Offline,C,1/25/11,Europe,2/7/11
818731915,Norway,Household,Offline,M,9/19/12,Europe,11/1/12
288951003,Kosovo,Household,Online,H,1/14/11,Europe,2/28/11
270212876,Papua New Guinea,Cereal,Offline,L,6/4/17,Australia and Oceania,7/21/17
815691363,Kuwait,Meat,Online,C,4/13/10,Middle East and North Africa,4/27/10
698872792,Tuvalu,Baby Food,Offline,C,7/2/14,Australia and Oceania,7/29/14
563555991,Nicaragua,Cereal,Online,H,5/24/14,Central America and the Caribbean,5/27/14
673852288,Croatia,Clothes,Online,M,6/25/10,Europe,7/19/10
464185512,Haiti,Fruits,Online,L,9/16/15,Central America and the Caribbean,9/24/15
789291989,Tuvalu,Meat,Offline,M,10/18/13,Australia and Oceania,11/26/13
774220550,Croatia,Meat,Offline,H,1/13/16,Europe,2/18/16
964332520,Czech Republic,Cereal,Offline,H,1/21/12,Europe,2/24/12
175301730,Egypt,Cosmetics,Offline,H,6/30/11,Middle East and North Africa,7/5/11
443114507,Sierra Leone,Vegetables,Offline,H,6/23/17,Sub-Saharan Africa,7/29/17
274069678,Rwanda,Fruits,Online,L,4/3/15,Sub-Saharan Africa,5/22/15
494778573,Macedonia,Meat,Offline,M,11/14/13,Europe,12/17/13
202165019,Andorra,Meat,Online,L,1/28/12,Europe,2/8/12
813465344,China,Clothes,Online,C,4/1/17,Asia,4/26/17
216228377,Panama,Meat,Offline,M,5/4/11,Central America and the Caribbean,5/4/11
418315446,Tonga,Baby Food,Online,L,3/20/15,Australia and Oceania,4/17/15
797900378,Finland,Meat,Online,H,9/27/16,Europe,11/2/16
353469502,Senegal,Beverages,Offline,M,5/30/12,Sub-Saharan Africa,6/15/12
853821647,Maldives,Meat,Offline,C,2/25/11,Asia,4/16/11
988068139,Montenegro,Beverages,Offline,M,5/18/15,Europe,6/16/15
415632808,Guinea,Vegetables,Online,M,3/16/17,Sub-Saharan Africa,4/21/17
216251981,Lesotho,Cosmetics,Offline,C,5/25/17,Sub-Saharan Africa,6/10/17
639974486,Dominican Republic,Office Supplies,Offline,H,12/26/13,Central America and the Caribbean,12/28/13
657161653,Jordan,Meat,Online,H,8/25/13,Middle East and North Africa,10/6/13
208487308,Papua New Guinea,Cosmetics,Offline,L,10/5/12,Australia and Oceania,10/24/12
654937779,Libya,Household,Offline,C,5/7/16,Middle East and North Africa,6/8/16
727811896,Cuba,Meat,Online,L,7/22/11,Central America and the Caribbean,8/8/11
578720986,Saint Kitts and Nevis ,Baby Food,Offline,C,11/21/16,Central America and the Caribbean,12/16/16
429588878,Finland,Vegetables,Online,H,4/10/10,Europe,5/23/10
122651898,Greenland,Personal Care,Offline,H,2/17/16,North America,3/10/16
470458877,Netherlands,Baby Food,Offline,H,9/22/10,Europe,9/24/10
105871140,Kuwait,Meat,Offline,M,10/27/16,Middle East and North Africa,12/3/16
432062518,Belgium,Beverages,Online,M,8/8/16,Europe,8/24/16
672519338,Egypt,Fruits,Offline,C,1/13/16,Middle East and North Africa,2/27/16
121040427,Dominican Republic,Cosmetics,Offline,L,10/13/10,Central America and the Caribbean,10/28/10
391737115,United Arab Emirates,Fruits,Online,C,9/24/12,Middle East and North Africa,10/29/12
469033229,Syria,Vegetables,Online,C,11/22/15,Middle East and North Africa,1/7/16
757665097,United Kingdom,Clothes,Offline,C,5/7/15,Europe,5/14/15
832681548,Monaco,Cereal,Offline,H,1/8/11,Europe,1/22/11
789443910,Syria,Meat,Offline,H,6/26/11,Middle East and North Africa,7/22/11
793626010,Dominica,Personal Care,Offline,H,1/3/15,Central America and the Caribbean,2/13/15
631214177,Tuvalu,Vegetables,Online,L,5/11/13,Australia and Oceania,5/28/13
158507239,Iceland,Baby Food,Online,C,9/23/10,Europe,9/29/10
652116525,Antigua and Barbuda ,Personal Care,Online,L,5/13/12,Central America and the Caribbean,6/1/12
758965861,Cote d'Ivoire,Cereal,Online,C,3/27/13,Sub-Saharan Africa,4/3/13
546291577,Tuvalu,Vegetables,Offline,L,12/7/16,Australia and Oceania,1/9/17
151642501,Mauritius ,Fruits,Online,L,10/6/16,Sub-Saharan Africa,11/25/16
232879960,El Salvador,Meat,Offline,C,9/2/14,Central America and the Caribbean,9/24/14
618177783,Maldives,Snacks,Offline,L,6/10/17,Asia,6/14/17
756022298,Australia,Snacks,Online,M,3/21/10,Australia and Oceania,4/2/10
165212333,Iran,Beverages,Offline,L,4/13/13,Middle East and North Africa,4/15/13
684859216,Guinea,Personal Care,Offline,M,2/11/10,Sub-Saharan Africa,3/26/10
624386775,Japan,Fruits,Offline,L,10/8/11,Asia,11/16/11
613531339,Kuwait,Cereal,Offline,L,3/21/15,Middle East and North Africa,4/3/15
452341735,Rwanda,Vegetables,Offline,C,9/16/14,Sub-Saharan Africa,10/8/14
461179292,Slovenia,Cereal,Online,C,2/17/13,Europe,3/27/13
130717837,Cambodia,Meat,Online,L,8/27/10,Asia,9/16/10
371943700,Morocco,Vegetables,Online,M,1/29/16,Middle East and North Africa,3/12/16
366155707,Somalia,Household,Online,H,10/7/12,Middle East and North Africa,10/23/12
714965188,Azerbaijan,Cosmetics,Offline,L,6/11/15,Middle East and North Africa,6/26/15
290295970,Moldova ,Clothes,Offline,H,5/21/13,Europe,5/25/13
284384381,Italy,Snacks,Online,C,2/2/12,Europe,2/10/12
159779250,Ghana,Cosmetics,Online,C,4/26/14,Sub-Saharan Africa,6/8/14
799341905,Israel,Cereal,Offline,M,5/2/16,Middle East and North Africa,6/6/16
456246173,Benin,Fruits,Offline,C,9/7/11,Sub-Saharan Africa,9/7/11
603978383,Taiwan,Clothes,Online,H,2/10/10,Asia,3/1/10
986337363,Mozambique,Baby Food,Offline,C,1/28/11,Sub-Saharan Africa,2/6/11
967434442,Samoa ,Cereal,Online,M,2/6/15,Australia and Oceania,2/7/15
881693446,Afghanistan,Cosmetics,Online,C,5/29/12,Middle East and North Africa,6/13/12
683850705,Mauritania,Fruits,Online,C,1/4/17,Sub-Saharan Africa,2/6/17
398955047,Mozambique,Office Supplies,Online,H,6/25/17,Sub-Saharan Africa,7/20/17
572367799,Fiji,Fruits,Online,L,1/10/11,Australia and Oceania,2/5/11
919762790,Albania,Snacks,Offline,H,11/7/14,Europe,11/14/14
777126348,South Sudan,Household,Online,M,12/6/16,Sub-Saharan Africa,12/12/16
450757300,Egypt,Personal Care,Online,L,2/7/10,Middle East and North Africa,3/25/10
767266976,Portugal,Beverages,Online,C,12/23/10,Europe,1/5/11
823579204,Netherlands,Office Supplies,Offline,C,9/23/10,Europe,10/28/10
236930310,Democratic Republic of the Congo,Cosmetics,Online,C,9/26/16,Sub-Saharan Africa,11/14/16
494869124,Albania,Clothes,Offline,C,12/14/10,Europe,1/14/11
905256974,Papua New Guinea,Vegetables,Offline,L,3/30/14,Australia and Oceania,4/22/14
846267688,Maldives,Cereal,Offline,C,6/23/14,Asia,6/27/14
216387593,Gabon,Baby Food,Offline,C,9/19/15,Sub-Saharan Africa,10/4/15
784415519,Greenland,Fruits,Offline,H,9/28/11,North America,11/5/11
339462792,Sierra Leone,Personal Care,Offline,L,7/17/12,Sub-Saharan Africa,7/30/12
340953242,Costa Rica,Cereal,Offline,M,3/28/10,Central America and the Caribbean,4/22/10
968623197,Hungary,Fruits,Online,C,2/26/13,Europe,3/15/13
672521483,Greece,Cereal,Offline,H,10/7/11,Europe,10/30/11
223009431,The Bahamas,Baby Food,Offline,H,9/25/12,Central America and the Caribbean,11/5/12
460760867,Estonia,Personal Care,Online,L,6/13/12,Europe,6/16/12
946762120,Tonga,Vegetables,Online,L,12/4/15,Australia and Oceania,12/13/15
412312018,Egypt,Household,Offline,M,4/24/10,Middle East and North Africa,6/10/10
809021890,Norway,Clothes,Online,L,2/11/14,Europe,2/24/14
558815562,Kenya,Baby Food,Online,H,10/30/12,Sub-Saharan Africa,12/17/12
403929364,Bangladesh,Vegetables,Offline,H,9/26/15,Asia,9/27/15
256912124,France,Cereal,Offline,M,3/30/14,Europe,4/13/14
550625169,Marshall Islands,Cereal,Offline,C,12/20/15,Australia and Oceania,1/28/16
888242328,Bosnia and Herzegovina,Vegetables,Online,H,9/2/10,Europe,9/18/10
493249928,Namibia,Meat,Offline,L,11/18/11,Sub-Saharan Africa,11/19/11
459446799,Croatia,Household,Online,C,4/11/15,Europe,5/17/15
600944268,Norway,Cosmetics,Offline,M,1/5/10,Europe,1/31/10
802166163,Croatia,Snacks,Offline,L,10/29/12,Europe,11/15/12
567848813,Sierra Leone,Cereal,Offline,H,3/23/11,Sub-Saharan Africa,4/7/11
373041045,Russia,Meat,Online,C,9/14/12,Europe,10/1/12
313104188,Ireland,Fruits,Online,M,9/9/10,Europe,10/11/10
553712069,Pakistan,Snacks,Offline,C,1/10/11,Middle East and North Africa,1/17/11
880851018,Canada,Vegetables,Offline,L,1/19/13,North America,1/21/13
250819861,Qatar,Beverages,Offline,M,5/21/13,Middle East and North Africa,6/7/13
840229928,Turkmenistan,Personal Care,Online,C,4/13/17,Asia,4/27/17
396005046,Moldova ,Meat,Offline,L,2/15/12,Europe,3/31/12
785381543,Pakistan,Vegetables,Offline,H,8/28/16,Middle East and North Africa,9/17/16
345908248,Tuvalu,Cereal,Online,L,8/12/16,Australia and Oceania,9/25/16
635446488,Sri Lanka,Office Supplies,Online,L,12/8/13,Asia,1/9/14
582170093,Finland,Baby Food,Online,H,5/31/15,Europe,7/7/15
534565389,France,Office Supplies,Online,L,10/4/13,Europe,10/30/13
911431205,Bahrain,Fruits,Online,L,2/8/14,Middle East and North Africa,2/12/14
851878869,Cote d'Ivoire,Snacks,Online,M,2/2/15,Sub-Saharan Africa,3/15/15
465332210,Hungary,Personal Care,Offline,M,8/10/12,Europe,9/22/12
381527554,Bulgaria,Clothes,Offline,H,3/20/11,Europe,4/17/11
400513732,Afghanistan,Personal Care,Offline,M,9/21/12,Middle East and North Africa,9/28/12
842652070,Kosovo,Cosmetics,Online,M,6/16/12,Europe,6/16/12
298616397,Australia,Meat,Online,H,7/30/10,Australia and Oceania,8/17/10
579393041,United Kingdom,Personal Care,Offline,C,11/22/15,Europe,12/26/15
866280829,Germany,Office Supplies,Offline,L,10/5/11,Europe,10/14/11
860891091,Spain,Personal Care,Offline,H,11/26/12,Europe,12/14/12
335147655,Latvia,Baby Food,Offline,C,3/6/16,Europe,3/29/16
481286847,Italy,Cosmetics,Online,L,12/6/11,Europe,12/8/11
761857497,Lebanon,Snacks,Online,C,7/1/10,Middle East and North Africa,7/20/10
259720933,Romania,Vegetables,Online,L,9/20/15,Europe,9/20/15
828050982,Lebanon,Cosmetics,Offline,H,7/23/13,Middle East and North Africa,8/7/13
340333974,Bosnia and Herzegovina,Household,Offline,L,10/8/13,Europe,11/17/13
340368735,Maldives,Cereal,Online,L,10/22/15,Asia,12/5/15
192266595,Cape Verde,Personal Care,Online,L,8/14/12,Sub-Saharan Africa,8/21/12
